delta time[s],outdoor temperature[°C],flow temperature boiler[°C],return flow temperature boiler[°C],return flow temperature[°C],room temperature[°C],pump I/O,boiler heating temperature[°C],flow temperature[°C],boiler I/O
66.142329,12,47.476871,38.107645,37.364583,19.064341,1,49.785659,44.939427,1
75.292719,12,47.588981,38.173799,37.483695,18.940855,1,49.909145,45.097029,1
84.443108,12,47.69632,38.255991,37.608294,18.830656,1,50.019344,45.240806,1
93.593498,12,47.8007,38.351729,37.734967,18.733342,1,50.116658,45.372758,1
102.74389,12,47.903117,38.457917,37.861356,18.64824,1,50.20176,45.49533,1
111.89428,12,48.003936,38.571404,37.985991,18.574568,1,50.275432,45.610809,1
121.04467,12,48.103076,38.689362,38.108067,18.511521,1,50.338479,45.721047,1
130.19506,12,48.200193,38.809474,38.227226,18.458306,1,50.391694,45.827369,1
139.34545,12,48.294821,38.929984,38.34338,18.414155,1,50.435845,45.930596,1
148.49584,12,48.386488,39.049652,38.45657,18.378327,1,50.471673,46.031132,1
157.64623,12,48.474779,39.167664,38.566878,18.350107,1,50.499893,46.129067,1
166.79661,12,48.55938,39.283518,38.674365,18.328805,1,50.521195,46.224289,1
175.947,12,48.640083,39.396928,38.77905,18.313755,1,50.536245,46.316573,1
185.09739,12,48.716789,39.507734,38.8809,18.304318,1,50.545682,46.405663,1
194.24778,12,48.789485,39.615843,38.979843,18.299883,1,50.550117,46.491319,1
203.39817,12,48.858225,39.721186,39.075778,18.299874,1,50.550126,46.573351,1
212.54856,12,48.923115,39.823695,39.168591,18.303745,1,50.546255,46.65163,1
221.69895,12,48.98429,39.923292,39.258172,18.310994,1,50.539006,46.726096,1
230.84934,12,49.041901,40.019891,39.344425,18.321151,1,50.528849,46.796748,1
239.99973,12,49.096106,40.113398,39.427275,18.333791,1,50.516209,46.863632,1
249.15012,12,49.147062,40.203724,39.506672,18.348524,1,50.501476,46.926835,1
258.30051,12,49.194919,40.290787,39.582594,18.364999,1,50.485001,46.986469,1
267.4509,12,49.239824,40.37452,39.655045,18.3829,1,50.4671,47.04266,1
276.60129,12,49.281914,40.454875,39.724051,18.401943,1,50.448057,47.095547,1
322.35324,12,49.455656,40.806423,40.020565,18.505055,1,50.344945,47.316466,1
355.79329,12,49.548208,41.012124,40.189448,18.583004,1,50.266996,47.436758,1
389.23334,12,49.61792,41.178709,40.323703,18.656408,1,50.193592,47.529189,1
422.67339,12,49.669357,41.311161,40.42858,18.722488,1,50.127512,47.598888,1
456.11345,12,49.706497,41.414646,40.509059,18.779998,1,50.070002,47.650388,1
489.5535,12,49.732666,41.494072,40.569683,18.828713,1,50.021287,47.687625,1
539.71358,12,49.757342,41.578291,40.63246,18.886455,1,49.963545,47.724119,1
554.7616,12,49.762021,41.596646,40.645803,18.900433,1,49.949567,47.731396,1
569.80962,12,49.765801,41.612515,40.65721,18.91305,1,49.93695,47.737431,1
576.58124,12,49.767242,41.618911,40.661767,18.918305,1,49.931695,47.73978,1
583.35285,12,49.768537,41.624883,40.665997,18.923312,1,49.926688,47.741926,1
585.60077,12,49.768936,41.626775,40.667332,18.92492,1,49.92508,47.742596,1
587.8487,12,49.76932,41.628624,40.668634,18.926503,1,49.923497,47.743244,1
588.55441,12,49.769438,41.629195,40.669036,18.926994,1,49.923006,47.743444,1
589.26013,12,49.769555,41.629763,40.669434,18.927483,1,49.922517,47.743641,1
589.47473,12,49.76959,41.629934,40.669555,18.927631,1,49.922369,47.743701,1
589.68933,12,49.769625,41.630106,40.669675,18.927779,1,49.922221,47.74376,1
589.90591,12,49.76966,41.630278,40.669797,18.927928,1,49.922072,47.74382,1
590.12248,12,49.769695,41.63045,40.669917,18.928077,1,49.921923,47.74388,1
590.16928,12,49.769702,41.630487,40.669943,18.928109,1,49.921891,47.743893,1
590.21608,12,49.76971,41.630524,40.669969,18.928141,1,49.921859,47.743906,1
590.23172,12,49.769713,41.630537,40.669978,18.928152,1,49.921848,47.74391,1
590.24736,12,49.769715,41.630549,40.669987,18.928163,1,49.921837,47.743914,1
590.26312,12,49.769718,41.630562,40.669996,18.928173,1,49.921827,47.743919,1
590.27887,12,49.76972,41.630574,40.670004,18.928184,1,49.921816,47.743923,1
590.28248,12,49.769721,41.630577,40.670006,18.928187,1,49.921813,47.743924,1
590.28609,12,49.769721,41.63058,40.670008,18.928189,1,49.921811,47.743925,1
590.2907,12,49.769722,41.630584,40.670011,18.928192,1,49.921808,47.743926,1
590.2953,12,49.769723,41.630587,40.670014,18.928195,1,49.921805,47.743927,1
590.30843,12,49.769725,41.630598,40.670021,18.928204,1,49.921796,47.743931,1
590.32809,12,49.769728,41.630613,40.670032,18.928218,1,49.921782,47.743936,1
590.36295,12,49.769734,41.630641,40.670051,18.928242,1,49.921758,47.743946,1
590.43172,12,49.769745,41.630695,40.670089,18.928289,1,49.921711,47.743965,1
590.55145,12,49.76977,41.63079,40.670156,18.928371,1,49.921629,47.743998,1
590.7737,12,49.769815,41.630965,40.670279,18.928523,1,49.921477,47.744058,1
590.81029,12,49.769821,41.630994,40.670299,18.928548,1,49.921452,47.744068,1
590.84688,12,49.769827,41.631023,40.670319,18.928573,1,49.921427,47.744078,1
591.02983,12,49.76985,41.631167,40.67042,18.928698,1,49.921302,47.744128,1
591.21278,12,49.769874,41.631311,40.670521,18.928822,1,49.921178,47.744178,1
591.60962,12,49.76991,41.631622,40.670739,18.929092,1,49.920908,47.744285,1
592.41432,12,49.770128,41.632248,40.671178,18.929637,1,49.920363,47.7445,1
592.41446,12,49.770129,41.632248,40.671178,18.929637,1,49.920363,47.7445,1
592.41473,12,49.770129,41.632248,40.671178,18.929637,1,49.920363,47.7445,1
592.41488,12,49.770129,41.632248,40.671178,18.929638,1,49.920362,47.7445,1
592.41502,12,49.770129,41.632248,40.671178,18.929638,1,49.920362,47.744501,1
592.41517,12,49.770129,41.632248,40.671178,18.929638,1,49.920362,47.744501,1
592.41552,12,49.770129,41.632249,40.671179,18.929638,1,49.920362,47.744501,1
592.41599,12,49.770129,41.632249,40.671179,18.929638,1,49.920362,47.744501,1
592.416,12,49.770129,41.632249,40.671179,18.929638,1,49.920362,47.744501,1
592.41601,12,49.770129,41.632249,40.671179,18.929638,1,49.920362,47.744501,1
592.41602,12,49.770129,41.632249,40.671179,18.929638,1,49.920362,47.744501,1
592.41606,12,49.770129,41.632249,40.671179,18.929638,1,49.920362,47.744501,1
592.4161,12,49.770129,41.632249,40.671179,18.929638,1,49.920362,47.744501,1
592.41614,12,49.770129,41.632249,40.671179,18.929638,1,49.920362,47.744501,1
592.41634,12,49.770129,41.632249,40.671179,18.929639,1,49.920361,47.744501,1
592.41693,12,49.77013,41.63225,40.671179,18.929639,1,49.920361,47.744501,1
592.41873,12,49.77013,41.632251,40.67118,18.92964,1,49.92036,47.744502,1
592.42666,12,49.770131,41.632257,40.671185,18.929645,1,49.920355,47.744504,1
592.45457,12,49.770135,41.632279,40.6712,18.929664,1,49.920336,47.744511,1
592.55704,12,49.770151,41.632358,40.671255,18.929733,1,49.920267,47.744538,1
592.93716,12,49.770209,41.632652,40.671461,18.929989,1,49.920011,47.744639,1
594.33663,12,49.770419,41.633723,40.67221,18.930926,1,49.919074,47.745006,1
599.70844,12,49.771181,41.637689,40.674977,18.93443,1,49.91557,47.746348,1
619.41901,12,49.773435,41.650457,40.683783,18.946152,1,49.903848,47.75047,1
638.59153,12,49.774886,41.660446,40.690524,18.955952,1,49.894048,47.75339,1
657.76406,12,49.77575,41.668414,40.695762,18.964345,1,49.885655,47.755428,1
686.52284,12,49.77625,41.677312,40.701377,18.974665,1,49.875335,47.757236,1
715.28163,12,49.776062,41.683279,40.704879,18.982662,1,49.867338,47.757931,1
849.52383,12,49.773018,41.692372,40.708677,19.001996,1,49.848004,47.756034,1
983.76604,12,49.76821,41.687943,40.704032,19.0047,1,49.8453,47.751267,1
1329.1585,12,49.764253,41.680306,40.697341,19.001976,1,49.848024,47.745934,1
1674.551,12,49.765666,41.680817,40.698322,19.001299,1,49.848701,47.747507,1
2152.1825,12,49.765279,41.681807,40.698843,19.002034,1,49.847966,47.747295,1
2971.0854,12,49.765524,41.680954,40.698288,19.001613,1,49.848387,47.747313,1
5152.0853,12,49.765293,41.681676,40.69879,19.001916,1,49.848084,47.747323,1
7200,12,49.765174,41.6821,40.699066,19.002123,1,49.847877,47.747316,1
7200,12,49.765174,41.6821,40.699066,19.002123,1,49.847877,47.747316,1
10800,13,49.529488,41.460688,40.474212,19.257435,1,49.592565,47.515267,1
10800,13,49.529488,41.460688,40.474212,19.257435,1,49.592565,47.515267,1
10800,13,49.529488,41.460688,40.474212,19.257435,1,49.592565,47.515267,1
14400,13,49.51782,41.443184,40.458358,19.259217,1,49.590783,47.501733,1
18000,13,49.512338,41.43484,40.450832,19.259891,1,49.590109,47.49535,1
18000,13,49.512338,41.43484,40.450832,19.259891,1,49.590109,47.49535,1
18000,13,49.512338,41.43484,40.450832,19.259891,1,49.590109,47.49535,1
18648,13.306,49.458836,41.393648,40.406462,19.333045,1,49.516955,47.445674,1
19944,13.918,49.315193,41.262726,40.272144,19.49362,1,49.35638,47.305151,1
21240,14.53,49.157832,41.107003,40.116373,19.650404,1,49.199596,47.14777,1
21600,14.7,49.113552,41.062593,40.072136,19.693641,1,49.156359,47.103333,1
21600,14.7,49.113552,41.062593,40.072136,19.693641,1,49.156359,47.103333,1
21600,14.7,49.113552,41.062593,40.072136,19.693641,1,49.156359,47.103333,1
23379.254,15.836745,48.843213,40.808645,39.814296,19.985229,1,48.864771,46.837116,1
25200,17,48.560522,40.539652,39.542167,20.284477,1,48.565523,46.557629,1
25200,17,48.560522,40.539652,39.542167,20.284477,1,48.565523,46.557629,1
25200,17,48.560522,40.539652,39.542167,20.284477,1,48.565523,46.557629,1
25296.08,17.026689,48.608799,40.546978,39.557789,20.310106,1,48.700026,46.588231,1
25488.239,17.080066,48.751712,40.621478,39.65177,20.383573,1,48.946825,46.71145,1
