delta time[s],outdoor temperature[°C],flow temperature[°C],return flow temperature[°C],f-r diff[K],room temperature[°C],pump I/O,boiler heating temperature[°C],pressure[bar],drinking water temperature boiler[°C]
0.00086889,2,46.003002,37.999998,8.0030034,20,1,48.85,1.071414,1
0.000912105,2,46.002963,37.999999,8.0029636,20,1,48.85,1.0650484,1
0.000976929,2,46.002921,37.999999,8.0029215,20,1,48.85,1.0581225,1
0.001041752,2,46.002895,38,8.0028956,20,1,48.85,1.0536211,1
0.001217212,2,46.002869,38,8.0028687,20,1,48.85,1.0478959,1
0.00126985,2,46.002869,38,8.0028688,20,1,48.85,1.0474082,1
0.001322488,2,46.00287,38,8.00287,20,1,48.85,1.0470948,1
0.001401444,2,46.002873,38,8.002873,20,1,48.85,1.0468118,1
0.001480401,2,46.002877,38,8.0028769,20,1,48.85,1.0466671,1
0.001598836,2,46.002884,38,8.0028832,20,1,48.85,1.0465667,1
0.001634367,2,46.002886,38,8.0028852,20,1,48.85,1.0465535,1
0.001669898,2,46.002888,38,8.0028872,20,1,48.85,1.046543,1
0.001723193,2,46.002891,38,8.0028902,20,1,48.85,1.0465327,1
0.001776489,2,46.002894,38,8.0028932,20,1,48.85,1.0465255,1
0.001856433,2,46.002898,38,8.0028976,20,1,48.85,1.0465197,1
0.001936377,2,46.002902,38,8.002902,20,1,48.85,1.0465163,1
0.002336095,2,46.002924,38,8.0029234,20,1,48.85,1.0465126,1
0.002735814,2,46.002944,38,8.0029437,20,1,48.85,1.0465133,1
0.004722695,2,46.003039,38,8.0030387,20,1,48.85,1.0465132,1
0.006709577,2,46.00313,38,8.0031295,20,1,48.85,1.0465132,1
0.008696458,2,46.00322,38,8.0032203,20,1,48.85,1.0465133,1
0.013074958,2,46.00342,38,8.0034205,20,1,48.85,1.0465132,1
0.034967458,2,46.004419,37.999998,8.004421,19.999998,1,48.850002,1.0465133,1
0.086303519,2,46.00676,37.999996,8.0067643,19.999989,1,48.850011,1.0465132,1
0.29011506,2,46.016013,37.999984,8.0160288,19.999878,1,48.850122,1.0465134,1
0.56122288,2,46.028227,37.999969,8.028258,19.999548,1,48.850452,1.0465133,1
0.91083914,2,46.04382,37.999948,8.0438715,19.998818,1,48.851182,1.0465135,1
1.3303818,2,46.062301,37.999922,8.0623792,19.997499,1,48.852501,1.0465135,1
1.9445912,2,46.088915,37.99988,8.0890352,19.994718,1,48.855282,1.0465137,1
2.9697342,2,46.132207,37.999797,8.1324099,19.98791,1,48.86209,1.0465136,1
4.5941084,2,46.198101,37.999634,8.198467,19.971892,1,48.878108,1.0465135,1
7.0412693,2,46.291744,37.999317,8.2924279,19.936725,1,48.913275,1.0465117,1
10.864626,2,46.426642,37.998678,8.4279636,19.858914,1,48.991086,1.0465064,1
16.508106,2,46.606094,37.99759,8.6085039,19.703694,1,49.146306,1.0464915,1
25.234134,2,46.8525,37.996717,8.8557835,19.39986,1,49.45014,1.0464567,1
33.960161,2,47.0753,37.999252,9.0760478,19.05147,1,49.79853,1.0464124,1
46.500779,2,47.3745,38.01709,9.3574104,18.529687,1,50.320313,1.0463438,1
63.409785,2,47.757994,38.085019,9.6729754,17.855326,1,50.994674,1.0462533,1
84.069497,2,48.209924,38.254765,9.9551586,17.139761,1,51.710239,1.0461557,1
109.8558,2,48.752899,38.592833,10.160066,16.444385,1,52.405615,1.0460529,1
145.54483,2,49.451816,39.209924,10.241892,15.808662,1,53.041338,1.0459368,1
212.57639,2,50.528902,40.496028,10.032874,15.320986,1,53.529014,1.0457758,1
279.60795,2,51.277218,41.682709,9.5945086,15.367294,1,53.482706,1.0456654,1
360.19622,2,51.820676,42.763599,9.0570765,15.652558,1,53.197442,1.0455468,1
384.3727,2,51.924006,43.005071,8.9189354,15.749191,1,53.100809,1.0455563,1
408.54918,2,52.007428,43.21056,8.7968678,15.840601,1,53.009399,1.0455712,1
432.72565,2,52.073738,43.384047,8.6896909,15.925175,1,52.924825,1.0455851,1
456.90213,2,52.125844,43.529202,8.5966421,16.001988,1,52.848012,1.0455976,1
481.07861,2,52.166302,43.649534,8.5167679,16.070656,1,52.779344,1.0456091,1
505.25509,2,52.197268,43.748274,8.448994,16.131201,1,52.718799,1.045619,1
529.43157,2,52.220545,43.828443,8.3921021,16.183942,1,52.666058,1.0456278,1
553.60805,2,52.237648,43.892817,8.3448313,16.22938,1,52.62062,1.0456352,1
577.78453,2,52.249854,43.94392,8.3059335,16.268127,1,52.581873,1.0456417,1
614.04925,2,52.261363,44.000761,8.2606026,16.315259,1,52.534741,1.0456494,1
650.31397,2,52.266961,44.038934,8.2280266,16.351076,1,52.498924,1.0456554,1
686.57869,2,52.268744,44.063498,8.2052457,16.377704,1,52.472296,1.0456596,1
686.57878,2,52.268744,44.063498,8.2052457,16.377704,1,52.472296,1.0456597,1
686.57898,2,52.268744,44.063498,8.2052456,16.377704,1,52.472296,1.0456597,1
686.57936,2,52.268744,44.063498,8.2052454,16.377705,1,52.472295,1.0456597,1
686.58003,2,52.268744,44.063499,8.205245,16.377705,1,52.472295,1.0456597,1
686.58183,2,52.268744,44.0635,8.2052441,16.377706,1,52.472294,1.0456597,1
686.59084,2,52.268744,44.063504,8.2052394,16.377712,1,52.472288,1.0456597,1
686.6129,2,52.268744,44.063516,8.2052282,16.377725,1,52.472275,1.0456597,1
686.69545,2,52.268743,44.063559,8.2051838,16.377777,1,52.472223,1.0456597,1
686.87731,2,52.26874,44.063653,8.2050863,16.37789,1,52.47211,1.0456597,1
687.05917,2,52.268748,44.063747,8.2050002,16.378002,1,52.471998,1.0456597,1
687.67947,2,52.268776,44.064067,8.2047091,16.378385,1,52.471615,1.0456598,1
689.22582,2,52.268964,44.064851,8.2041128,16.379331,1,52.470669,1.0456599,1
693.07749,2,52.269374,44.066732,8.2026424,16.38163,1,52.46837,1.0456603,1
696.92916,2,52.269835,44.068513,8.2013219,16.383853,1,52.466147,1.0456606,1
700.36966,2,52.270057,44.070023,8.2000336,16.385775,1,52.464225,1.0456609,1
703.81016,2,52.269877,44.071459,8.1984179,16.387639,1,52.462361,1.0456612,1
707.57498,2,52.269777,44.072949,8.1968276,16.389614,1,52.460386,1.0456614,1
711.3398,2,52.269561,44.074358,8.1952038,16.391525,1,52.458475,1.0456617,1
728.5329,2,52.268534,44.079875,8.1886588,16.399479,1,52.450521,1.0456629,1
775.51156,2,52.265417,44.088986,8.1764313,16.415675,1,52.434325,1.0456657,1
822.49023,2,52.262028,44.091698,8.1703294,16.42541,1,52.42459,1.0456674,1
897.43087,2,52.256965,44.089541,8.1674244,16.432957,1,52.417043,1.0456686,1
1090.0171,2,52.249038,44.078757,8.1702811,16.435427,1,52.414573,1.0456689,1
1282.6033,2,52.247231,44.073306,8.1739251,16.432232,1,52.417768,1.0456684,1
1584.978,2,52.247494,44.072857,8.1746371,16.431257,1,52.418743,1.0456682,1
2101.8098,2,52.247666,44.073523,8.1741428,16.431663,1,52.418337,1.0456683,1
2772.0822,2,52.247551,44.073158,8.1743933,16.43152,1,52.41848,1.0456682,1
4011.2284,2,52.247617,44.07338,8.1742373,16.431572,1,52.418428,1.0456683,1
6174.7693,2,52.247568,44.073207,8.1743617,16.431544,1,52.418456,1.0456682,1
7200,2,52.247529,44.073072,8.1744572,16.431516,1,52.418484,1.0456682,1
7200,2,52.247529,44.073072,8.1744572,16.431516,1,52.418484,1.0456682,1
7200,2,52.247529,44.073072,8.1744572,16.431516,1,52.418484,1.0456682,1
10800,0.7,52.555841,44.362061,8.1937808,16.099656,1,52.750344,1.0456389,1
10800,0.7,52.555841,44.362061,8.1937808,16.099656,1,52.750344,1.0456389,1
10800,0.7,52.555841,44.362061,8.1937808,16.099656,1,52.750344,1.0456389,1
11124,0.727,52.562076,44.373182,8.1888936,16.101894,1,52.748106,1.0456391,1
11772,0.781,52.556793,44.374812,8.1819818,16.117463,1,52.732537,1.0456407,1
13176.075,0.89800627,52.523295,44.34074,8.1825556,16.14891,1,52.70109,1.0456435,1
14400,1,52.497852,44.31537,8.1824823,16.174146,1,52.675854,1.0456457,1
14400,1,52.497852,44.31537,8.1824823,16.174146,1,52.675854,1.0456457,1
16123.39,1,52.496091,44.312901,8.1831892,16.174723,1,52.675277,1.0456457,1
18000,1,52.495226,44.311646,8.1835805,16.174947,1,52.675053,1.0456457,1
18000,1,52.495226,44.311646,8.1835805,16.174947,1,52.675053,1.0456457,1
18000,1,52.495226,44.311646,8.1835805,16.174947,1,52.675053,1.0456457,1
21446.78,1.4787194,52.383151,44.207344,8.1758071,16.296753,1,52.553247,1.0456566,1
25200,2,52.25687,44.087461,8.1694083,16.430238,1,52.419762,1.0456684,1
25200,2,52.25687,44.087461,8.1694083,16.430238,1,52.419762,1.0456684,1
25200,2,52.25687,44.087461,8.1694083,16.430238,1,52.419762,1.0456684,1
25253.725,2,52.28396,44.090638,8.1933222,16.435745,1,52.503797,1.0456637,1
25361.176,2,52.362767,44.117428,8.2453384,16.455926,1,52.662701,1.0456492,1
25445.048,2,52.44362,44.169856,8.2737632,16.485583,1,52.77283,1.0456363,1
25528.92,2,52.528345,44.245134,8.2832107,16.525891,1,52.872309,1.0456273,1
25785.286,2,52.79867,44.506062,8.2926084,16.674529,1,53.150948,1.045603,1
26136.402,2,53.166239,44.874357,8.291882,16.895398,1,53.515272,1.0455719,1
26706.746,2,53.760525,45.463964,8.2965613,17.24951,1,54.111733,1.0455213,1
27844.282,2,54.946849,46.641386,8.3054634,17.955898,1,55.301238,1.0454195,1
28800,2,55.943763,47.631116,8.3126473,18.549652,1,56.300348,1.0453339,1
28800,2,55.943763,47.631116,8.3126473,18.549652,1,56.300348,1.0453339,1
28853.004,2,55.969523,47.680888,8.2886351,18.579146,1,56.270854,1.0453343,1
28959.011,2,55.9972,47.759479,8.2377206,18.627007,1,56.222993,1.0453397,1
28977.689,2,55.998089,47.768739,8.2293504,18.633043,1,56.216957,1.0453413,1
28996.368,2,55.999195,47.776235,8.2229595,18.63824,1,56.21176,1.0453427,1
29069.952,2,56.001738,47.793307,8.2084308,18.652739,1,56.197261,1.0453457,1
29143.536,2,56.001357,47.798407,8.2029491,18.660373,1,56.189627,1.0453466,1
29217.12,2,55.999986,47.799559,8.2004277,18.664013,1,56.185987,1.0453473,1
29371.535,2,55.997997,47.798,8.1999965,18.665981,1,56.184019,1.0453477,1
29602.129,2,55.996856,47.795395,8.2014611,18.665228,1,56.184772,1.0453475,1
29893.891,2,55.996937,47.795264,8.2016734,18.664794,1,56.185206,1.0453475,1
30390.421,2,55.997017,47.795401,8.2016164,18.664936,1,56.185064,1.0453474,1
31231.058,2,55.996958,47.795382,8.2015758,18.664894,1,56.185106,1.0453475,1
32993.126,2,55.997005,47.79536,8.2016454,18.664909,1,56.185091,1.0453474,1
36000,2,55.997016,47.795372,8.2016435,18.66492,1,56.18508,1.0453474,1
36000,2,55.997016,47.795372,8.2016435,18.66492,1,56.18508,1.0453474,1
36000,2,55.997016,47.795372,8.2016435,18.66492,1,56.18508,1.0453474,1
40209.903,3.1694176,55.718358,47.533864,8.1844936,18.963194,1,55.886806,1.0453741,1
46800,5,55.267294,47.101718,8.1655751,19.43282,1,55.41718,1.0454158,1
46800,5,55.267294,47.101718,8.1655751,19.43282,1,55.41718,1.0454158,1
46800,5,55.267294,47.101718,8.1655751,19.43282,1,55.41718,1.0454158,1
47283.157,5.4026311,55.184095,47.029382,8.1547128,19.531356,1,55.318644,1.0454246,1
48249.472,6.2078933,54.991516,46.850893,8.1406227,19.740519,1,55.109481,1.0454434,1
49728.2,7.440167,54.680356,46.547606,8.1327493,20.056958,1,54.793042,1.0454713,1
50400,8,54.538767,46.408971,8.129796,20.20018,1,54.64982,1.0454838,1
50400,8,54.538767,46.408971,8.129796,20.20018,1,54.64982,1.0454838,1
50570.456,8,54.520778,46.386347,8.1344309,20.209389,1,54.640611,1.0454848,1
50911.369,8,54.503229,46.357957,8.1452717,20.209861,1,54.640139,1.0454846,1
51382.913,8,54.505903,46.356218,8.149685,20.202405,1,54.647595,1.0454834,1
51854.457,8,54.506246,46.35998,8.1462661,20.206407,1,54.643593,1.045484,1
52858.225,8,54.505448,46.357279,8.1481689,20.204557,1,54.645443,1.0454838,1
53861.992,8,54.506145,46.359131,8.1470133,20.205589,1,54.644411,1.0454839,1
55176.165,8,54.505574,46.357897,8.1476771,20.205054,1,54.644946,1.0454839,1
57317.864,8,54.506054,46.358783,8.1472708,20.205346,1,54.644654,1.0454839,1
57600,8,54.5062,46.359073,8.1471263,20.205457,1,54.644543,1.0454839,1
